acct_id_new,gender,city,state,zip,ethnicity
1,F,Wilkesboro,NC,28697,2
2,F,Morganton,NC,28655,0
3,F,Spindale,NC,28160,0
4,M,Hayesville,NC,28904,0
5,F,Ellenboro,NC,28040,0
6,M,Union Mills,NC,28167,0
7,M,Jefferson,NC,28640,0
8,F,Rutherfordton,NC,28139,0
9,M,Spindale,NC,28160,0
10,M,North Wilkesboro,NC,28659,2
11,M,Mooresboro,NC,28114,0
12,F,Morganton,NC,28655,0
13,M,NULL,NULL,NULL,0
14,F,Forest City,NC,28043,1
15,M,Morganton,NC,28655,0
16,M,Forest City NC,NULL,28043,0
17,F,Rutherfordton,NC,28139,0
18,F,North Wilkesboro,NC,28659,1
19,M,Hildebran,NC,28637,0
20,F,Morganton,NC,28655,0
21,F,Millers Creek,NC,28651,0
22,F,Wilkesboro,NC,28697,2
23,F,Morganton,NC,28655,0
24,F,Morganton,NC,28655,0
25,M,Morganton,NC,28655,0
26,F,Forest City,NC,28043,0
27,M,Bostic,NC,28018,0
28,F,Bryson City,NC,28713,0
29,F,Burnsville,NC,28714,0
30,NULL,NULL,NULL,NULL,NULL
31,M,Burnsville,NC,28714,0
32,M,Bostic,NC,28018,0
33,M,Elkin,NC,28621,0
34,NULL,NULL,NULL,NULL,NULL
35,M,Connelly Springs,NC,28612,0
36,F,Mooresboro,NC,28114,0
37,F,Traphill,NC,28685,0
38,M,Sparta,NC,28675,1
39,M,Bostic,NC,28018,0
40,F,Elk Park,NC,28622,0
41,F,Jefferson,NC,28640,0
42,F,Spindale,NULL,28160,0
43,NULL,NULL,NULL,NULL,NULL
44,M,Morganton,NC,28655,1
45,NULL,NULL,NULL,NULL,NULL
46,M,Connelly Springs,NC,28612,0
47,M,Morganton,NC,28655,0
48,M,Forest City,NC,28043,0
49,F,Whittier,NC,28789,0
50,M,Traphill,NC,28685,0
51,NULL,NULL,NULL,NULL,NULL
52,M,Morganton,NC,28655,1
53,F,Ronda,NC,28670,0
54,NULL,NULL,NULL,NULL,NULL
55,F,Hays,NC,28635,0
56,M,Morganton,NC,28655,0
57,F,Valdese,NC,28690,0
58,M,Boone,NC,28607,0
59,M,Mooresboro,NC,28114,0
60,F,Purlear,NC,28665,0
61,M,Morganton,NC,28680,0
62,M,Moravian Falls,NC,28697,0
63,F,Cherokee,NC,28719,0
64,F,Morganton,NC,28655,0
65,M,Bostic,NC,28018,0
66,F,North Wilkesboro,NC,28659,0
67,F,Marshall,NC,28753,0
68,M,Morganton,NC,28655,0
69,F,Forest City,NC,28043,0
70,F,Forest City,NC,28043,0
71,M,Boone,NC,28607,0
72,F,Connelly Springs,NC,28612,0
73,M,Mars Hill,NC,28754,0
74,F,Morganton,NC,28655,0
75,F,Cherokee,NC,28719,0
76,M,Morganton,NC,28655,0
77,F,Hayesville,NC,28904,0
78,F,Spindale,NC,28160,0
79,F,Hayesville,NC,28904,0
80,F,Robbinsville,NC,28771,0
81,F,Forest City,NC,28043,0
82,F,Forest City,NC,28043,0
83,M,Hays,NC,28635,0
84,F,Morganton,NC,28619,0
85,M,Ellenboro,NC,28040,0
86,M,Bryson City,NC,28713,1
87,F,Burnsville,NC,28714,0
88,M,Morganton,NC,28655,0
89,M,Millers Creek,NC,28651,0
90,F,Boone,NC,28607,0
91,M,NULL,NULL,NULL,0
92,M,Millers Creek,NC,28651,0
93,M,Hayesville,NC,28904,0
94,F,Connelly Springs,NC,28612,0
95,F,Robbinsville,NC,28771,0
96,M,Marshall,NC,28753,0
97,F,Wilkesboro,NC,28697,2
98,M,Morganton,NC,28655,0
99,F,Connelly Springs,NC,28612,0
100,F,North Wilkesboro,NC,28659,2
101,M,Hickory,NC,28601,0
102,M,Valdese,NC,28690,0
103,F,Ellenboro,NC,28040,0
104,M,Hildebran,NC,28637,0
105,F,Warrensville,NC,28693,0
