student_id_new,acct_id_new,person_detail_id_new,gender,city,state,zip,ethnicity,school_id_new,lea_id_new,race_id,grade,lep_enrolled,iep_enrolled,cum_gpa,absence_count_unexcused,absence_count_excused,core_gpa,num_f,academic_year_id
1,15485,3221,F,Spindale,NC,28160,0,35,17,5,11.0,N,N,0.0,2,7,,0,12
2,17185,13118,F,Creston,NC,28615,0,77,2,5,6.0,N,N,3.28636,3,2,3.69167,0,12
3,10165,13067,M,Rutherfordton,NC,28139,0,7,9,5,6.0,N,N,3.10435,3,15,3.025,3,12
4,13890,28185,M,Ellenboro,NC,28040,0,12,17,5,9.0,N,N,0.0,2,1,,0,12
5,11313,12510,M,Forest City,NC,28043,0,23,17,5,11.0,N,N,0.0,3,0,,0,12
6,9161,6310,F,Moravian Falls,NC,28654,0,11,1,7,6.0,N,N,3.71429,0,0,3.43333,0,11
7,16969,12112,M,Morganton,NC,28655,0,49,10,5,6.0,N,Y,1.75,0,3,1.75,0,12
8,17012,6157,M,Rutherfordton,NC,28139,0,35,17,5,10.0,N,N,0.0,0,2,,0,12
9,1339,15921,F,North Wilkesboro,NC,28659,0,18,1,5,6.0,N,N,3.0125,3,10,3.0125,0,12
10,12639,27837,M,Burnsville,NC,28714,0,75,4,5,7.0,N,N,1.975,6,19,1.975,0,12
11,2164,8897,M,Rutherfordton,NC,28139,0,7,9,5,7.0,N,N,,0,0,,0,11
12,6698,17994,M,Valdese,NC,28690,0,49,10,5,6.0,N,N,3.25,3,1,2.92308,0,12
13,4559,24757,F,Jefferson,NC,28640,0,67,2,5,7.0,N,N,3.71429,2,0,3.55556,0,12
14,14674,26821,F,Marshall,NC,28753,0,17,19,5,6.0,N,N,3.4875,3,1,3.10833,0,12
15,7572,27626,M,Caroleen,NC,28019,0,53,9,5,7.0,N,N,1.60833,8,1,1.01538,10,12
16,7423,25603,M,Wilkesboro,NC,28697,0,18,1,5,6.0,N,N,2.18214,3,1,0.775,7,11
17,13575,7578,F,Valdese,NC,28690,0,49,10,5,6.0,N,N,3.67857,5,1,3.53846,0,12
18,9243,23832,F,N Wilkesboro,NC,28659,0,11,1,5,6.0,N,N,3.28333,0,1,3.28333,0,12
19,8413,24830,M,,,,0,74,3,5,6.0,N,N,3.10667,0,12,2.6625,0,12
20,10729,13615,F,Ellenboro,NC,28040,0,22,9,5,7.0,N,N,4.0,0,1,4.0,0,11
21,3479,3166,F,Robbinsville,NC,28771,0,38,13,6,6.0,N,N,3.47619,0,6,3.475,0,12
22,186,28926,F,Forest City,NC,28043,0,23,17,4,9.0,N,N,0.0,0,2,,0,12
23,2012,45,M,Morganton,NC,28655,0,34,21,5,8.0,N,N,3.91176,4,0,3.8125,0,11
24,16640,20966,M,Bostic,NC,28018,1,22,9,9,6.0,N,N,2.83333,3,0,2.09091,1,12
25,16470,8404,F,Moravian Falls,NC,28654,0,2,14,5,8.0,N,N,3.93929,3,11,3.85833,0,11
26,14840,22828,M,Hayesville,NC,28904,0,58,7,5,7.0,N,N,3.01515,8,5,2.70476,0,11
27,16093,9988,M,Forest City,NC,28043,0,7,9,5,8.0,N,N,3.4,5,10,3.21,0,12
28,16812,17221,M,Marshall,NC,28753,0,17,19,5,8.0,N,N,2.50435,3,0,2.10833,2,12
29,11822,26647,F,Cherokee,NC,28719,0,74,3,5,7.0,N,N,3.15333,0,28,2.22857,1,12
