person_detail_id_new,school_id_new,lea_id_new,race_id,grade,lep_enrolled,iep_enrolled,cum_gpa,absence_count_unexcused,absence_count_excused,core_gpa,num_f,academic_year_id
1,53,9,4,6,N,N,3.38696,2,2,3.26667,0,12
2,61,21,5,9,N,N,2,29,0,2.2,1,12
3,51,10,1,6,N,N,3.875,0,0,4,0,11
4,74,3,7,7,N,N,2.87333,4,2,2.05,0,12
5,22,9,9,8,N,N,2.3,11,0,1.57273,4,12
6,35,17,5,9,N,N,0,0,0,NULL,0,12
7,17,19,5,6,N,N,3.9875,6,1,3.975,0,12
8,35,17,5,10,N,N,0,0,1,NULL,0,12
9,20,17,9,8,N,N,0,1,0,NULL,0,12
10,12,17,5,10,N,N,0,1,0,NULL,0,12
11,2,14,5,8,N,N,3.14643,6,4,2.46667,1,11
12,11,1,5,7,N,N,3.925,7,5,3.925,0,12
13,2,14,5,8,N,N,3.74286,1,0,3.575,0,11
14,76,15,5,8,N,Y,NULL,0,13,NULL,0,11
15,53,9,5,6,N,N,2.41667,6,6,2.41667,1,11
16,11,1,5,8,N,N,2.51111,2,1,2.51111,1,12
17,20,17,9,7,N,N,0,0,0,NULL,0,12
18,22,9,4,7,N,N,3.05833,12,4,2.83333,1,12
19,28,14,5,8,N,N,3.83929,2,3,3.78333,0,11
20,55,10,5,6,N,Y,1.69565,8,4,1.28571,7,11
21,49,10,2,6,N,Y,2.86207,3,0,2.23077,0,12
22,13,23,5,9,N,N,NULL,1,5,NULL,0,12
23,31,16,5,8,N,N,3.6125,6,2,3.5,0,11
24,23,17,5,10,N,N,0,1,0,NULL,0,12
25,35,17,4,9,N,N,0,0,0,NULL,0,12
26,7,9,5,7,N,N,2.41667,0,0,2.41667,2,11
27,35,17,5,10,N,N,0,3,0,NULL,0,12
28,74,3,5,8,N,N,3.24444,0,17,3.07778,0,12
29,53,9,2,6,N,N,3,2,2,3,0,11
30,53,9,2,7,N,N,1.69231,0,0,1.69231,8,11
31,2,14,5,8,N,N,3.86786,1,4,3.75,0,11
32,49,10,5,6,N,Y,3.45833,1,2,3.15385,0,12
33,22,9,2,7,N,N,2.25,0,0,2.25,2,11
34,12,17,5,11,N,N,0,0,10,NULL,0,12
35,36,10,5,7,N,Y,3.52917,5,0,3.15385,0,12
36,52,17,5,8,N,N,0,0,0,NULL,0,12
37,49,10,5,8,N,N,3.16667,14,7,3.30769,0,12
38,35,17,5,12,N,N,0,0,0,NULL,0,12
39,74,3,5,6,N,Y,3.125,0,0,3.125,0,11
40,47,20,7,8,N,N,2.3625,4,3,1.80833,5,11
41,17,19,5,7,N,N,4,3,5,4,0,11
42,55,10,5,6,N,N,2.88,5,5,2.71429,0,12
43,20,17,4,7,N,N,0,1,0,NULL,0,12
44,0,22,8,NULL,N,N,NULL,0,0,NULL,0,11
45,34,21,5,8,N,N,3.91176,4,0,3.8125,0,11
46,46,14,5,8,N,N,2.69643,2,0,1.85,1,11
47,12,17,5,10,N,N,0,1,0,NULL,0,12
48,16,10,4,7,N,N,3.61765,0,5,3.28571,0,11
49,18,1,5,8,N,N,3.23333,1,2,3.23333,0,12
50,6,12,2,8,N,N,NULL,0,0,NULL,0,11
51,23,17,5,9,N,N,0,14,1,NULL,0,12
52,76,15,5,8,N,N,NULL,4,5,NULL,0,11
53,45,14,7,9,N,N,3.8875,20,14,3.8875,0,12
54,41,15,5,9,N,N,0,0,0,NULL,0,12
55,16,10,9,7,N,N,3.37838,0,0,3.875,0,12
56,17,19,5,8,N,N,2.7,11,8,2.24167,2,12
57,52,17,5,7,N,N,0,0,0,NULL,0,12
58,45,14,7,9,N,N,3.525,17,2,3.525,0,12
59,68,14,7,9,Y,N,0.61429,26,19,0.61429,4,12
60,16,10,5,6,N,N,3.55556,8,0,4,0,12
61,53,9,5,6,N,N,3.5,4,11,3.5,0,11
