student_id_new,acct_id_new,person_detail_id_new
4115,1,14124
4115,1,16549
2919,2,10850
13063,3,29368
8385,4,17675
8385,4,23746
14643,5,5878
7054,6,24551
9397,7,2050
9397,7,24632
253,8,667
253,8,20414
253,8,22531
12468,9,10179
12468,9,10347
12468,9,22348
9078,10,6898
9078,10,9015
4354,11,12630
15022,12,13823
4641,13,25668
10363,14,7913
10363,14,16881
10363,14,22483
9300,15,2928
9300,15,28208
10246,16,11394
10246,16,11744
10246,16,18885
4265,17,5566
4265,17,14369
4265,17,18153
13072,18,5970
15605,19,19098
15605,19,28522
8534,20,21161
9221,21,7791
9221,21,9179
14580,22,7652
14580,22,9727
14006,23,17113
14006,23,22848
14441,24,3255
14441,24,7007
2750,25,16879
2750,25,20572
12479,26,4162
12479,26,23191
12479,26,23871
515,27,11145
515,27,15418
515,27,16311
6724,28,12068
12621,29,6203
12621,29,16654
9340,31,12106
9340,31,24642
6022,32,4283
6022,32,13154
6022,32,17154
8870,33,11700
8870,33,20666
6208,35,9421
6208,35,13695
8047,36,11388
8047,36,15226
8047,36,27115
2611,37,2778
2611,37,26781
14378,38,2711
14378,38,12633
13880,39,4660
13880,39,18874
13880,39,23540
2711,40,19305
2711,40,27159
5124,41,5387
5124,41,11827
14003,42,4929
14003,42,5249
14003,42,13356
9869,44,10232
1973,46,3930
1973,46,18982
874,47,2653
874,47,18557
1557,48,616
4807,49,15520
4931,50,8217
4931,50,23793
6354,52,14517
6354,52,25442
13607,53,6066
13607,53,9797
3894,55,20144
3894,55,26654
2368,56,11514
2368,56,15486
5623,57,11786
5623,57,15686
2356,58,25650
6723,59,16107
6274,60,19426
2852,61,20269
12036,62,6190
12036,62,17006
13144,63,18032
1178,64,9329
1178,64,14469
861,65,12243
14556,66,25293
12362,67,8228
12362,67,17261
4932,68,6232
4932,68,15838
8342,69,1839
8342,69,16280
8342,69,20979
3996,70,23639
12587,71,5849
15053,72,8376
15053,72,22810
13165,73,16139
13165,73,24361
10963,74,16561
10963,74,26580
2385,75,1366
4433,76,1312
4433,76,26889
1993,77,16483
1993,77,20250
3115,78,15106
3115,78,21677
3115,78,23138
6070,79,28615
9554,80,16237
4104,81,19322
4104,81,26964
14554,82,9196
13529,83,10231
13529,83,28210
3815,84,9248
3815,84,12125
7831,85,517
7831,85,6527
7831,85,16528
5949,86,9198
5949,86,25077
15777,87,19352
5472,88,7908
5472,88,26502
15004,89,6198
15004,89,19463
8958,90,26741
8711,91,15588
2321,92,28632
1623,93,14326
540,94,3720
540,94,12703
14126,95,22728
185,96,20755
12958,97,15731
12958,97,28347
16080,98,23512
13381,99,9527
13381,99,21239
451,100,20326
451,100,20774
9837,101,4203
9837,101,27724
14555,102,8180
14555,102,26626
12777,103,6489
13336,104,2736
13336,104,9041
1839,105,12006
1839,105,25686
11200,106,5763
11200,106,27986
13499,107,7714
13499,107,24788
2401,108,3248
7708,109,19845
7708,109,21956
10359,110,9302
10359,110,13068
10359,110,25065
12585,111,2827
12585,111,23706
16030,112,5827
16030,112,14019
2324,113,7737
2324,113,17711
538,114,4841
538,114,12207
